name_1,date_1,name_2,date_2,name_3,date_3,context,correct_date,correct_answer
Josh,1901-12-10,Jerry,1912-02-12,Ryan,1909-03-10,Josh was born on the day the first Nobel Prize awards took place. Jerry was born on the day the Chinese Empire ended and the Republic of China was established. Ryan was born on the day the Anglo-Siamese Treaty of 1909 was signed. The oldest is,1901-12-10,Josh
Alex,1917-11-26,Dean,1919-04-11,Laura,1919-08-11,Alex was born on the day the National Hockey League was formed. Dean was born on the day the International Labour Organization was established. Laura was born on the day the German Revolution ended. The oldest is,1917-11-26,Alex
Ian,1908-10-01,George,1918-11-09,William,1918-03-30,Ian was born on the day the Ford Motor Company invented the Model T. George was born on the day Wilhelm II abdicated. William was born on the day the Armenian-Azerbaijani War began. The oldest is,1908-10-01,Ian
William,1910-10-05,Josh,1919-02-14,Grant,1919-01-21,William was born on the day the First Portuguese Republic was proclaimed. Josh was born on the day the Polish-Soviet War began. Grant was born on the day the First Red Scare began and the Irish War of Independence started. The oldest is,1910-10-05,William
Jerry,1909-07-16,Luke,1919-08-11,Rose,1908-12-02,Jerry was born on the day Mohammad Ali Shah Qajar was forced to abdicate. Luke was born on the day the German Revolution ended. Rose was born on the day Puyi became the last Emperor of China. The oldest is,1908-12-02,Rose
Neil,1907-07-24,Andrew,1902-05-31,Rachel,1908-05-26,Neil was born on the day the Japan–Korea Treaty was signed. Andrew was born on the day the Second Boer War ended. Rachel was born on the day the first commercial Middle Eastern oilfield was established. The oldest is,1902-05-31,Andrew
Laura,1905-12-05,April,1919-04-11,Grant,1917-11-26,Laura was born on the day Henry Campbell-Bannerman became Prime Minister. April was born on the day the International Labour Organization was established. Grant was born on the day the National Hockey League was formed. The oldest is,1905-12-05,Laura
Jack,1902-07-17,Dean,1910-05-31,Richard,1919-02-14,Jack was born on the day Willis Carrier invented the first modern electrical air conditioning unit. Dean was born on the day the Union of South Africa was created. Richard was born on the day the Polish-Soviet War began. The oldest is,1902-07-17,Jack
Mark,1905-09-26,Josh,1901-12-10,Emily,1918-03-11,Mark was born on the day Albert Einstein formulated special relativity. Josh was born on the day the first Nobel Prize awards took place. Emily was born on the day the Spanish flu pandemic began. The oldest is,1901-12-10,Josh
Grant,1917-11-26,Ryan,1912-02-14,William,1910-10-05,Grant was born on the day the National Hockey League was formed. Ryan was born on the day Arizona became a U.S. state. William was born on the day the First Portuguese Republic was proclaimed. The oldest is,1910-10-05,William
April,1918-12-01,Leon,1915-05-07,William,1910-10-05,April was born on the day the Kingdom of Iceland was formed. Leon was born on the day the RMS Lusitania sank. William was born on the day the First Portuguese Republic was proclaimed. The oldest is,1910-10-05,William
Mark,1903-08-04,Aaron,1910-05-31,Charlie,1903-07-01,Mark was born on the day Pius X became Pope. Aaron was born on the day the Union of South Africa was created. Charlie was born on the day the first Tour de France was held. The oldest is,1903-07-01,Charlie
Mark,1909-04-13,Jerry,1918-12-01,Rachel,1907-07-24,Mark was born on the day a countercoup failed in the Ottoman Empire. Jerry was born on the day the Kingdom of Iceland was formed. Rachel was born on the day the Japan–Korea Treaty was signed. The oldest is,1907-07-24,Rachel
Dean,1910-05-31,William,1918-03-30,Luke,1903-08-04,Dean was born on the day the Union of South Africa was created. William was born on the day the Armenian-Azerbaijani War began. Luke was born on the day Pius X became Pope. The oldest is,1903-08-04,Luke
Aaron,1910-05-31,Alice,1916-04-30,Blake,1916-12-30,Aaron was born on the day the Union of South Africa was created. Alice was born on the day the first nationwide daylight saving time implementation occurred. Blake was born on the day Grigori Rasputin was assassinated. The oldest is,1910-05-31,Aaron
Connor,1919-04-13,Luke,1902-05-31,Alex,1908-07-26,Connor was born on the day the Jallianwala Bagh massacre occurred. Luke was born on the day the Second Boer War ended. Alex was born on the day the Bureau of Investigation was founded. The oldest is,1902-05-31,Luke
